"Story","Title","Result","Date","Stability","Duration (s)"
"User drivent data test","Update user drivent data","SUCCESS","2022-03-15T10:52:12.811+07:00[Asia/Ho_Chi_Minh]","0.0","0.04"
"This is feature contains all scenarios involves user","Verify that the status code return 200 when user get list","SUCCESS","2022-03-15T10:52:13.857+07:00[Asia/Ho_Chi_Minh]","0.0","1.23"
"This is feature contains all scenarios involves user","Verify that admin can create user","FAILURE","2022-03-15T10:52:15.091+07:00[Asia/Ho_Chi_Minh]","0.0","2.28"
